Código;Código alternativo;Nombre;Marca
;;;
35410082;;_ 8.00 MM PCIOX M ROLLO   PP TRENZADA MULTIFILA    M.T/SEDA;MILWAUKEE
49111515;18060087;(CORTE) CONDUCTOR ENVAINADO TPR 4X 2.50MM NEG;LOCTITE
94211154;MDF00077;#41JA16 - CHAIN SPROCKET 250/28;MCELROY
94211128;MDL00283;1.00 LOW FRICTION WEAR RING (MDL00283);MCELROY
94211127;MDL00280;1.00 LOW FRICTION WIPER (MDL00280);MCELROY
94211129;MDL00298;"1"" ROD SEAL (MDL00298)";MCELROY
70010672;AR-1000/2;"1/2 ACOPLE DE CAMBIO RAPIDO (M & H)                (LADO CILINDRO DT 3/8"" BSP)";SACAPOL
75026042;REH 10N46;10N46 BUSA CERÁMICA TORCHAS TIG WPM 17,18,26;
75026043;REH 10N47;10N47 BUSA CERÁMICA TORCHAS TIG WPM 17,18,26;
22013092;;125 - 150;STARRETT
90036001;1203101;12IPS/DIPS MASTER INSERT;MCELROY
80036505;W-HSR;12V/24V SIRENA CON ESTROBO 2W, 8 CD, PARED, ROJO;BOSCH
75025545;;156M SCREW PITCH GAGE;STARRET
45160443;175.32-191940;175.32-191940-25 4325 INSERTO;SANDVIK
94211155;MDH00019;1B, JA, QD HUB 250/28;MCELROY
94211158;MKI00003;1X3/16 316SS 100OHM PLAT RTD SENSOR 28/250/412/618;MCELROY
90036002;1207010;225MM INSERT SET;MCELROY
94211139;1219002;240V, 1Ph, 15A Cord - 618;MCELROY
75025546;;269 MATAPER GAGE;STARRET
95874514;870764056;28/56 RUEDA CORTA CAÑO 29 / 30;GAMMA
90036006;MEB00153;2B X 3S X 5/8R CLAMP CYLINDER;MCELROY
90007924;;2DA.REPARACION CENTRALES SGL2000-ESL1500           CAMBIO  DE COMPONENTES EN MAL ESTADO ,;GW
70104183;AR110;3 BANDAS AUTOADHESIVAS REFLECTIVAS                 PARA CONO DE 110 CM (84 CM);BM
90025812;;33% MANIQUI  RESCUE RANDY CON CUERPO GRANDE;
90025813;;34% MANIQUI  RESCUE RANDY CON CUERPO GRANDE;
94211163;T5070901;"4"" - 20"" PIPE STAND - 618";MCELROY
90036003;1284501;412 220-240,50/60,1 HEATER;MCELROY
75025547;;475 SCREW PITCH GAGE;STARRET
94211159;MLQ00051;5 AMP FUSE - 824/630/1236;MCELROY
90010106;;50 MTS C/TOMA MULT;
51670202;519-551D;519-551D MU CHEQUER;MITUTOYO
75025548;;579A TELESCOPING GAGE;STARRET
90025212;ENAHC7206;"6' HOSE W/ CH-604 3/8"" NP  (HC7206)";ENERPAC
94211160;MLQ00062;60 AMP FUSE - 824/1236;MCELROY
90005134;60.0600.16;60.0600.16 CARTUCHO;SACAPOL
90005137;60.1200.16;60.1200.16 CARTUCHO;SACAPOL
500001;6013;6013 CARTEL FOTOLUMINIS.SALIDA DE EMERGENCIA C/    FLECHA;
500002;6014;6014 CARTEL FOTOLUM.SALIDA DE EMERGENCIA C/FLEC    HA IZQ.;
75025549;;66MA METRIC THICKNESS GAGE;STARRET
70016841;26150684AA;684 KIT DE LIMPIEZA Y PULIDO;DREMEL
70103907;7234005;7.7 MM RIVET (100 PACK);DBI SALA / 3M
75027485;720182-1;"70FT/MIN;FLYWHEEL REPL;KIT NA";
94211134;1207104;"8"" IPS (219 MM) - 618";MCELROY
90901620;;8x100mm BITS SEC. CUADRAD;STRONGER
90022955;10202936;"A-5k-SENS-01-0-F-1-0  BODY CSA, ¾"" NPT -SIN SENSOR";MSA
14143637;23637;A.R.1.5/4MM L50 1.2 D/D   HOJAS P/SIERRA CALADO    RA;METABO
90023275;;ABANICOS LIJADORES 25 X 20 X 6,4 MM GRANO 80;WAVE ABRASIVOS
90023276;;ABANICOS LIJADORES 35 X 20 X 6 MM  GRANO 80;WAVE ABRASIVOS
99887133;;ABATELENGUAS DE MADERA;
90025782;TBW.0021;ABI-GEL DECAPANTE;
90025783;TBW.0383;ABI-GEL PASIVANTE;
75010440;;ABONO MENSUAL DE EQUIPO DE LOCALIZACION GPS 1/12   (MCC-MSG  DURACION 12 MESES);
57254037;010310;ABRAZADERA  06- 12 MM  A CREMALLERA;TR
57253309;0103309;ABRAZADERA  52 - 76 MM  A CREMALLERA;TR
96508178;ERF1210;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  100-120MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508174;ERF60;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  12-22MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
57257025;057025;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  140-160 M;PERFECTO
16274500;ERF61;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  16-27MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
70005045;057027;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  160-180 M;PERFECTO
90015517;ERF1921;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  190-210MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
23354500;ERF63;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  23-35MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
79001215;ERF64;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  30-45MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508175;ERF65;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  32-50MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75005388;ERF67;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  50-70MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75006080;ERF68;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  60-80MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75002616;ERF69;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  70-90MM   (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
96508177;ERF8010;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  80-100MM  (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
75002614;ERF1911;ABRAZADERA  DE ACERO INOX. ANCHO 12 MM.  90-110MM  (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90003189;ERF1222;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  12-22MM    (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
90015515;ERF1240;ABRAZADERA  DE ACERO INOX. ANCHO 9 MM.  120-140 MM (CARCAZA Y TORNILLO EN ACERO SAE 1010);PERFECTO
